N,ApproxArea,RelError
100,1.08,0.143441
600,0.855,0.0947756
1100,0.818182,0.133757
1600,0.860625,0.0888202
2100,0.968571,0.0254672
2600,0.986538,0.0444897
3100,0.821613,0.130124
3600,0.855,0.0947756
4100,0.957073,0.0132935
4600,0.927391,0.0181319
5100,0.901765,0.0452638
5600,0.946607,0.00221273
6100,0.975246,0.0325338
6600,0.912273,0.0341386
7100,0.892394,0.0551846
7600,0.931974,0.0132803
8100,0.99,0.0481546
8600,0.971163,0.0282108
9100,0.949451,0.00522316
9600,0.949688,0.00547403
10100,0.94901,0.00475663
10600,0.995943,0.0544471
11100,0.987568,0.0455792
11600,0.969052,0.0259757
12100,0.910413,0.0361073
12600,0.955714,0.0118548
13100,0.908931,0.0376763
13600,0.934412,0.010699
14100,0.939574,0.00523306
14600,0.914178,0.0321213
15100,0.933377,0.0117941
15600,0.970962,0.0279977
16100,0.957578,0.0138277
16600,0.976446,0.0338041
17100,0.935263,0.00979763
17600,0.971591,0.0286641
18100,0.968122,0.0249909
18600,0.962903,0.0194661
19100,0.944764,0.000261734
19600,0.934898,0.0101843
20100,0.969851,0.0268217
20600,0.972524,0.0296523
21100,0.927299,0.0182301
21600,0.927083,0.018458
22100,0.913032,0.033335
22600,0.960531,0.0169545
23100,0.937013,0.00794501
23600,0.948814,0.00454875
24100,0.919046,0.0269678
24600,0.867073,0.0819932
25100,0.953068,0.00905282
25600,0.942187,0.00246654
26100,0.930345,0.0150049
26600,0.962594,0.0191387
27100,0.94583,0.0013902
27600,0.955435,0.0115589
28100,0.955089,0.0111928
28600,0.954441,0.0105063
29100,0.947629,0.00329447
29600,0.940439,0.00431755
30100,0.934684,0.0104104
30600,0.963529,0.020129
31100,0.955852,0.0120007
31600,0.970348,0.0273483
32100,0.906449,0.0403048
32600,0.935061,0.0100113
33100,0.933716,0.0114357
33600,0.924375,0.0213254
34100,0.985249,0.0431248
34600,0.936676,0.00830147
35100,0.959487,0.0158494
35600,0.939944,0.00484201
36100,0.93964,0.0051638
36600,0.94623,0.00181291
37100,0.957008,0.0132246
37600,0.932553,0.0126668
38100,0.934724,0.010368
38600,0.93544,0.00960996
39100,0.95202,0.00794403
39600,0.945909,0.00147367
40100,0.947132,0.00276859
40600,0.939901,0.00488684
41100,0.97073,0.0277525
41600,0.9225,0.0233105
42100,0.945748,0.00130335
42600,0.934437,0.0106727
43100,0.944478,4.1532e-05
43600,0.91672,0.0294299
44100,0.955918,0.0120709
44600,0.923812,0.0219218
45100,0.920355,0.0255818
45600,0.943026,0.00157845
46100,0.945488,0.00102792
46600,0.947511,0.00316939
47100,0.927707,0.0177976
47600,0.932143,0.0131012
48100,0.95894,0.0152697
48600,0.943889,0.000665204
49100,0.963605,0.020209
49600,0.947177,0.0028165
50100,0.94509,0.000606272
50600,0.950158,0.00597228
51100,0.944384,0.000141474
51600,0.950233,0.0060511
52100,0.966852,0.023647
52600,0.947567,0.00322848
53100,0.932203,0.0130371
53600,0.942985,0.00162211
54100,0.958226,0.0145136
54600,0.945495,0.00103473
55100,0.955045,0.0111466
55600,0.95018,0.00599531
56100,0.943316,0.00127227
56600,0.951519,0.00741357
57100,0.927426,0.0180956
57600,0.933281,0.011896
58100,0.946317,0.00190522
58600,0.931485,0.0137981
59100,0.939442,0.00537371
59600,0.935487,0.00956108
60100,0.950466,0.00629814
60600,0.945,0.000511176
61100,0.929313,0.0160977
61600,0.957565,0.0138142
62100,0.948116,0.00381015
62600,0.954489,0.0105574
63100,0.953772,0.00979824
63600,0.942028,0.00263509
64100,0.950265,0.00608568
64600,0.945836,0.00139619
65100,0.960829,0.0172705
65600,0.945686,0.00123745
66100,0.934175,0.0109492
66600,0.94027,0.00449639
67100,0.931923,0.0133345
67600,0.925695,0.0199276
68100,0.953656,0.00967606
68600,0.932012,0.0132401
69100,0.944805,0.00030433
69600,0.946034,0.00160643
70100,0.930171,0.0151887
70600,0.940283,0.00448261
71100,0.948101,0.00379462
71600,0.93243,0.012797
72100,0.945562,0.00110589
72600,0.948347,0.0040549
73100,0.936443,0.00854824
73600,0.940476,0.00427906
74100,0.937773,0.00714006
74600,0.943552,0.00102159
75100,0.93715,0.00779946
75600,0.934048,0.0110846
76100,0.942812,0.00180526
76600,0.950052,0.00586017
77100,0.975175,0.0324588
77600,0.942216,0.00243584
78100,0.94863,0.00435437
78600,0.944198,0.000337434
79100,0.931631,0.0136433
79600,0.940817,0.00391798
80100,0.956517,0.0127046
80600,0.968337,0.0252195
81100,0.936843,0.00812456
81600,0.932757,0.0124506
82100,0.947686,0.00335469
82600,0.956005,0.0121625
83100,0.929567,0.0158286
83600,0.957811,0.0140747
84100,0.934566,0.0105357
84600,0.941702,0.00298042
85100,0.947485,0.00314248
85600,0.946893,0.00251487
86100,0.939826,0.00496698
86600,0.948118,0.0038121
87100,0.954971,0.0110682
87600,0.944897,0.000402401
88100,0.951896,0.00781181
88600,0.960339,0.0167508
89100,0.94798,0.00366601
89600,0.955346,0.0114649
90100,0.933463,0.0117037
90600,0.946291,0.00187843
91100,0.944852,0.000354282
91600,0.95286,0.00883316
92100,0.953355,0.00935702
92600,0.955497,0.0116245
93100,0.947175,0.00281402
93600,0.933173,0.0120105
94100,0.961785,0.0182825
94600,0.949852,0.0056482
95100,0.944574,6.02917e-05
95600,0.944435,8.68586e-05
96100,0.947482,0.00313875
96600,0.953944,0.00998067
97100,0.95311,0.00909778
97600,0.946014,0.0015851
98100,0.926422,0.0191581
98600,0.936968,0.00799312
99100,0.95004,0.00584762
99600,0.946807,0.00242456
